metric,train_cv_mean,train_cv_std,jain,shehata,harvey
accuracy,0.586847877746896,0.06206965027615598,0.423728813559322,0.5178571428571429,0.4799131378935939
brier,0.23681350121577455,0.042566229710281664,0.29847271001605824,0.28989894142491923,0.32421373631222944
ece,0.22145484791920836,0.06178397195396392,0.29169228478484516,0.22482717825091936,0.2276154832071175
f1,0.6686571187614831,0.07481041144812374,0.5,0.64,0.6044591246903386
f1_negative,0.38629511224779767,0.18558802912500452,0.32,0.2702702702702703,0.24088748019017434
f1_positive,0.6686571187614831,0.07481041144812374,0.5,0.64,0.6044591246903386
mce,0.6832382292974312,0.18019006966875403,0.48814326225870946,0.6977859145443313,0.537423987342496
positive_rate,0.5762961461685164,0.11178300706850548,0.3559322033898305,0.5,0.4799131378935939
pr_auc,0.7150460466410695,0.11629037759920588,0.505922489391218,0.509726769955616,0.44277021558916163
precision,0.6154932640458955,0.101101408828787,0.3617021276595745,0.5106382978723404,0.4759427828348505
roc_auc,0.6262670662670663,0.08283547337412728,0.5520050125313283,0.5427295918367347,0.4518793867314068
sensitivity,0.7485554723054724,0.0993352241990879,0.8095238095238095,0.8571428571428571,0.8280542986425339
specificity,0.3472069597069597,0.1867560745792609,0.21052631578947367,0.17857142857142858,0.15866388308977036
