metric,train_cv_mean,train_cv_std,jain,shehata,harvey
accuracy,0.6227061708225804,0.115621769525086,0.525,0.5365853658536586,0.5358224016145308
brier,0.24696708864782072,0.03892409075627911,0.2749514184489965,0.2725431327859796,0.26266742758849126
ece,0.24490149323727395,0.05070648525051695,0.2367201094663312,0.17664668010076245,0.09609034063513258
f1,0.6908336570739241,0.11474944553074455,0.5,0.6041666666666666,0.5602294455066922
f1_negative,0.4929458459160975,0.11705351427832938,0.5476190476190477,0.4411764705882353,0.5085470085470085
f1_positive,0.6908336570739241,0.11474944553074455,0.5,0.6041666666666666,0.5602294455066922
mce,0.6897346703634305,0.18647548238593198,0.7376508044097614,0.7374309489947835,0.3842135319982126
positive_rate,0.5762961461685164,0.11178300706850548,0.3875,0.573170731707317,0.5025227043390514
pr_auc,0.6929754738710023,0.12136966596747303,0.46122982212025665,0.6351528525840683,0.5341070664205552
precision,0.6440829401936212,0.1485384139124138,0.4222222222222222,0.5918367346938775,0.5346715328467153
roc_auc,0.6235625485625487,0.12917503727060045,0.5296247531270573,0.49574468085106377,0.5450687129858175
sensitivity,0.7590485902985904,0.11410380751851919,0.6129032258064516,0.6170212765957447,0.5883534136546185
specificity,0.45187728937728944,0.16149507492527113,0.46938775510204084,0.42857142857142855,0.4827586206896552
