metric,train_cv_mean,train_cv_std,jain,shehata,harvey
accuracy,0.6416520397684493,0.09642510249311197,0.55,0.5,0.5438950554994955
brier,0.23248422787779535,0.03232417271800916,0.272889272319603,0.2812774776969814,0.2656551925457399
ece,0.2634888181208346,0.06073435701558058,0.20026292925203337,0.20942167977182358,0.10801093649879401
f1,0.7088581576153982,0.0879566007197407,0.55,0.594059405940594,0.549800796812749
f1_negative,0.5170081263765475,0.1312257258415976,0.55,0.3492063492063492,0.5378323108384458
f1_positive,0.7088581576153982,0.0879566007197407,0.55,0.594059405940594,0.549800796812749
mce,0.7519208680870973,0.10308190630063492,0.8859924933163974,0.8042296474205645,0.4262630341354946
positive_rate,0.5762961461685164,0.11178300706850548,0.3875,0.573170731707317,0.5025227043390514
pr_auc,0.7284823417635526,0.09902106047226433,0.46249285121170297,0.5936436326289871,0.5364288012696807
precision,0.6652322595704949,0.14191376915563686,0.4489795918367347,0.5555555555555556,0.5454545454545454
roc_auc,0.6795988733488734,0.10601201971207759,0.5694535878867677,0.4790273556231003,0.5550009368101207
sensitivity,0.7796178821178821,0.09542884962736187,0.7096774193548387,0.6382978723404256,0.5542168674698795
specificity,0.4864285714285715,0.20479572978143903,0.4489795918367347,0.3142857142857143,0.5334685598377282
