feature,coef,abs_coef
CDRH1_charge,0.29032277103679927,0.29032277103679927
CDRH3_pI,0.2620870968977953,0.2620870968977953
CDRH2_pI,0.25486071716940983,0.25486071716940983
CDRH2_hydropathy,0.2437416452452069,0.2437416452452069
CDRH3_length,0.2057865660116523,0.2057865660116523
CDRH3_net_charge,0.20138119427790244,0.20138119427790244
CDRH1_length,0.18156181104584754,0.18156181104584754
CDRH3_hydropathy,0.16028952175180114,0.16028952175180114
CDRH1_aromaticity,-0.1520976458657786,0.1520976458657786
CDRH1_pI,-0.11226478222344903,0.11226478222344903
CDRH3_charge,0.1064557059547652,0.1064557059547652
CDRH2_charge,0.09213196262544307,0.09213196262544307
CDRH1_net_charge,0.09190240925721074,0.09190240925721074
CDRH1_hydropathy,0.09148269606323108,0.09148269606323108
CDRH3_aromaticity,-0.08285180109441277,0.08285180109441277
CDRH2_length,0.057002701918622396,0.057002701918622396
CDRH2_aromaticity,-0.004778567514498226,0.004778567514498226
CDRH2_net_charge,-0.0040315833311187306,0.0040315833311187306
