metric,train_cv_mean,train_cv_std,jain,shehata,harvey
accuracy,0.601403589138512,0.10853790700750922,0.4864864864864865,0.6271186440677966,0.47878787878787876
brier,0.24598664078889204,0.049962393854799725,0.2903683148089372,0.32549734987007395,0.29449173185759114
ece,0.2500268412215491,0.06957532018341211,0.31047052473745446,0.3531311653220188,0.1913240491707372
f1,0.6781263453129318,0.09312489874153464,0.4722222222222222,0.717948717948718,0.49560117302052786
f1_negative,0.4227490745969007,0.205494692207481,0.5,0.45,0.4608150470219436
f1_positive,0.6781263453129318,0.09312489874153464,0.4722222222222222,0.717948717948718,0.49560117302052786
mce,0.7145382112588032,0.17409750893742876,0.8129342414614628,0.7311309523809524,0.6050733740330873
positive_rate,0.5762961461685164,0.11178300706850548,0.35135135135135137,0.4915254237288136,0.396969696969697
pr_auc,0.723566768343767,0.1408849401914581,0.49020295692127436,0.666141195501661,0.39843828548153915
precision,0.6316701861650711,0.12015598687523067,0.3695652173913043,0.5714285714285714,0.4023809523809524
roc_auc,0.6236768786768787,0.12674976030962978,0.5881410256410257,0.671264367816092,0.5068903678698837
sensitivity,0.7505914918414919,0.11907919035729957,0.6538461538461539,0.9655172413793104,0.6450381679389313
specificity,0.38687728937728944,0.21478689555730568,0.3958333333333333,0.3,0.3693467336683417
